ID,Fundnr,Anzahl,Bodenzeichen,Bodenform,DMmax,Dmproz,BZCHN_erkannt,BZCHN_Ansatz,i,a,Typ,Fragmenttyp,Standflaeche,Produktionsspuren,joint,moeglicher_joint,Formaehnlichkeit,Erhaltung
179,1230343,1,3,3,,,,,,,,,,,,,,
180,1230340,3,3,1,,,,,4,,,Mittelteil,,,,,,
181,1230340,1,3,1,10,20,,,,,,,,,,,,
182,1230340,1,3,1,10,15,,,,,,,,,,,,
183,1230340,1,3,1,9,20,,,,,,,,,,,,
184,1230340,13,3,2,,,,,,,,,,,,,,
185,1230340,1,3,3,8,20,,,,,,,,,,,,
186,1230340,1,3,3,10,15,,,,,,,,,,,,
187,1230335,1,3,1,,,,,,,,,,,,,,
188,1230335,1,3,1,,,,,,,,,,,,,,
189,1230334,1,3,3,,,,,,,,,,,,,,
190,1230333,3,3,9,,,,,,,,Mittelteil,,,,,,
191,1230333,3,3,1,,,,,,,,,,,,,,
192,1230333,5,3,3,,,,,,,,,,,,,,
193,1230333,1,1,1,9,40,,mit Kreis,,,,,,,,,,
194,1230330,1,3,3,10,11,,,,,,,,,,,,
195,1230327,2,3,1,,,,,,,,Mittelteil,,,,,,
196,1230327,2,3,1,,,,,,,,,,,,,,
197,1230327,9,3,3,,,,,,,,,,,,,,
198,1230325,1,3,1,10,30,,,,,,,,,,,,
199,1230325,3,3,2,,,,,,,,,,,,,,
200,1230324,3,3,1,8,40,,,,,,Mittelteil,,,,,,
201,1230324,1,3,1,10,15,,,,,,,,,,,,
202,1230324,1,3,1,8,15,,,,,,,,,,,,
203,1230324,3,3,1,,,,,,,,,,,,,,
204,1230324,1,3,3,,,,,,,,,,,,,,
205,1230323,1,3,1,,,,,,,,,,Holzabdruck?,,,,
206,1230320,10,3,1,,,,,,,,,,,,,,
207,1230320,1,3,3,,,,,,,,,,,,,,
208,1230319,1,2,1,,,,,,,,,,,,,,
209,1230319,2,3,7,,,,,,,,,,,,,,
210,1230318,1,3,1,18,25,,,,,,Standfläche,,,,,,
211,1230318,3,3,1,,,,,,,,,,,,,,
212,1230317,1,3,1,,,,,,,,Mittelteil,,,,,,
213,1230317,1,3,1,,,,,,,,Mittelteil,,,,,,
214,1230317,2,3,7,,,,,,,,,,,,,,
215,1230317,1,3,1,,,,,,,,,,,,,,
216,1230317,1,3,4,,,,,,,,,,,,,,
217,1230316,2,3,1,,,,,,,,,,,,,,
218,1230302,2,3,3,,,,,,,,,,,,,,
219,1230296,1,3,4,,,,,,,,,,,,,,
220,1230295,1,3,1,,,,,,,,,,,,,,
221,1230289,1,3,4,10,18,,,3,,Garz,,,,,,,
222,1230289,2,3,10,,,,,,,,Mittelteil,,,,,,
