ID;Fundnr;Anzahl;Verzier_a1;Verz_a1_mehrfach;Wsmin;Wsmax;Verzier_a2;Verzier_a2_mehrfach;Verzier_a3;Verzier_a4;Verzier_i;Dmax;Proz_erhalt;Fragmenttyp;Anmerk;Zchng;Typ;joint;Ware
186;1230460;2;20;;;0,65;;;26;;;;;;;66XII;20;;
187;1230460;4;22;3;0,7;0,9;26;;;;;;;;;;20;;
188;1230460;7;10;;0,65;0,9;;;;;;;;;;;20;;
189;1230464;4;22;;;;;;;;;;;;;68IV;62;;
190;1230447;1;3;;;;14;;;;;;;;;;60;;
191;1230481;1;3;;;;13;;;;;;;;;71I;;;
192;1230394;2;3;;0,6;1;24;;;;;;;;;69XIV;;;
193;1230394;1;3;;0,6;1,6;24;;;;;;;;;69XII;;;
194;1230460;1;22;;;0,65;22;;;;;;;;;66XI;;;
195;1230402;1;3;;;0,65;24;;;;;;;;;61V;;;
196;1230472;1;3;;;;24;;;;;;;;;58III;;;
197;1230478;1;;;;;20;3;;;;;;;;52X;;;
198;1230420;4;;;;;;;;;;;;;;51VII;;;110
199;1230421;1;;;;;11;;15;1;;;;;;50IV;;;
200;1230387;1;3;;0,65;0,8;22;;;;;;;;;47VII;;;
201;1230383;1;3;;0,5;0,6;1;;;;;;;;;45VIII;;;
202;1230383;3;3;;;0,7;1;;;;;;;;;45IX;;;
203;1230340;1;3;;;;14;;;;;;;;;33VIII;;;
204;1230340;1;3;;;;14;;;;;;;;;33VII;;;
205;1230340;2;10;;;;;;;;;;;;;33I;;zu RS Zchng. 33I;
206;1230340;3;3;;;;;;;;;;;;;32XII;;zu RS Zchng. 32XII;
207;1230296;1;3;;;;24;;;;;;;;;31XI;;;
208;1230477;1;3;;;;;;;;;;;;;;;zu RS Zchng. 71VI;
209;1230041;1;3;;;;;;;;;;;;;;;zu RS Zchng. 70I;
210;1230405;2;3;;;;;;;;;;;;;;;zu RS Zchng. 68II;
211;1230402;2;3;;;;;;;;;;;;;;;zu RS Zchng. 60XII;
212;1230463;3;3;;;;;;;;;;;;;;;zu RS Zchng. 59VII;
213;1230429;2;3;;;;;;;;;;;;;;;zu RS Zchng. 56XIII;
214;1230429;1;3;;;;;;;;;;;;;;;zu RS Zchng. 56XIII;
215;1230451;1;3;;;;;;;;;;;;;;;zu RS Zchng. 55IX;
216;1230445;2;3;;;;;;;;;;;;;;;zu RS Zchng. 55III;
217;1230445;1;3;;;;;;;;;;;;;;;zu RS Zchng. 55II;
218;1230340;1;3;;;;;;;;;;;;;;;zu RS Zchng. 33III;
219;1230493;3;3;;;;;;;;;;;;;;;zu RS gehörend;
220;1230204;1;3;;;;15;;;;;;;;zu RS;;;;
221;1230051;1;3;;;;2;;;;;;;;zu RS;;;;
222;1230484;4;3;;;;;;;;;;;;zu RS;;;;
223;1230421;1;3;;;;;;;;;;;;zu RS;;;;
224;1230392;10;3;;;;;;;;;;;;;;;zu 5 BS gehörend;
225;1230353;1;3;;;;21;;;;;18;12;;Zchng;;;;
